Seq #,Title,20 Char,Publisher,Prods,ISSN,E-ISSN,Country,Language,SCIE,SSCI,AHCI,WoS Category
D2539J,ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,D  JS Q  XC S  T  CC ES,2330-4022,,UNITED STATES,English,,,,"Materials Science, Multidisciplinary"
D2539J,ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,D  JS Q  XC S  T  CC ES,2330-4022,,UNITED STATES,English,,,,Nanoscience & Nanotechnology
D2539J,ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,D  JS Q  XC S  T  CC ES,2330-4022,,UNITED STATES,English,,,,"Physics, Applied"
D2539J,ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,D  JS Q  XC S  T  CC ES,2330-4022,,UNITED STATES,English,,,,"Physics, Condensed Matter"
D1698J,ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,AMER CHEMICAL SOC,D  JS Q  XC S  T  CC ES,2168-0485,2168-0485,UNITED STATES,English,,,,"Chemistry, Multidisciplinary"
D1698J,ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,AMER CHEMICAL SOC,D  JS Q  XC S  T  CC ES,2168-0485,2168-0485,UNITED STATES,English,,,,"Engineering, Chemical"
D1166J,ACS Synthetic Biology,ACS SYNTH BIOL,AMER CHEMICAL SOC,D  JS Q  XC B1 BA BP ES,2161-5063,2161-5063,UNITED STATES,English,,,,Biochemical Research Methods
13214J,ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,LIPPINCOTT WILLIAMS & WILKINS,D  JS Q  XC ES SP,1091-5397,1536-593X,UNITED STATES,English,,,,Sport Sciences
13869J,ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,S HIRZEL VERLAG,K  D  JS Q  T  CC ES,1610-1928,1861-9959,GERMANY,Multi-Language,,,,Acoustics
C3308J,ACTA ADRIATICA,ACTA ADRIAT,INST OCEANOGRAFIJU I RIBARSTVO,D  JS Q  XC B7 WS ES,0001-5113,1846-0453,CROATIA,Multi-Language,,,,Marine & Freshwater Biology
C3308J,ACTA ADRIATICA,ACTA ADRIAT,INST OCEANOGRAFIJU I RIBARSTVO,D  JS Q  XC B7 WS ES,0001-5113,1846-0453,CROATIA,Multi-Language,,,,Oceanography
09891J,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,TAYLOR & FRANCIS AS,K  D  JS Q  A  B1 BA BP CC ES SP,0906-4702,1651-1972,ENGLAND,English,,,,"Agriculture, Dairy & Animal Science"
09890J,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,TAYLOR & FRANCIS AS,K  D  JS Q  A  B1 BA BP CC ES SP,0906-4710,1651-1913,NORWAY,English,,,,Agronomy
09890J,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,TAYLOR & FRANCIS AS,K  D  JS Q  A  B1 BA BP CC ES SP,0906-4710,1651-1913,NORWAY,English,,,,Soil Science
00171J,ACTA ALIMENTARIA,ACTA ALIMENT HUNG,AKADEMIAI KIADO RT,D  JS Q  XC A  B1 BA BP CC ES,0139-3006,1588-2535,HUNGARY,English,,,,Food Science & Technology
00171J,ACTA ALIMENTARIA,ACTA ALIMENT HUNG,AKADEMIAI KIADO RT,D  JS Q  XC A  B1 BA BP CC ES,0139-3006,1588-2535,HUNGARY,English,,,,Nutrition & Dietetics
C1582J,ACTA AMAZONICA,ACTA AMAZON,INST NACIONAL PESQUISAS AMAZONIA,D  JS Q  XC A  B1 B7 BA BP CC ES SC,0044-5967,1809-4392,BRAZIL,Multi-Language,,,,Ecology
C1582J,ACTA AMAZONICA,ACTA AMAZON,INST NACIONAL PESQUISAS AMAZONIA,D  JS Q  XC A  B1 B7 BA BP CC ES SC,0044-5967,1809-4392,BRAZIL,Multi-Language,,,,Plant Sciences
C1582J,ACTA AMAZONICA,ACTA AMAZON,INST NACIONAL PESQUISAS AMAZONIA,D  JS Q  XC A  B1 B7 BA BP CC ES SC,0044-5967,1809-4392,BRAZIL,Multi-Language,,,,Zoology
00220J,ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,WILEY-BLACKWELL,K  D  JS Q  C  P  DF B2 BA BP CC ES,0001-5172,1399-6576,DENMARK,English,,,,Anesthesiology
C8856J,Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,ACTA ANAL,SPRINGER,H  Q,0353-5150,1874-6349,UNITED STATES,English,0,,1,Philosophy
04898J,ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,SPRINGER,K  D  JS Q  XC S  CC ES,0167-8019,1572-9036,NETHERLANDS,English,1,,0,"Mathematics, Applied"
00308J,ACTA ARCHAEOLOGICA,ACTA ARCHAEOL-DEN,WILEY-BLACKWELL,H  Q  WS,0065-101X,1600-0390,DENMARK,English,0,,1,Archaeology
03565J,ACTA ARITHMETICA,ACTA ARITH,POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN,K  D  JS Q  XC S  CC ES,0065-1036,1730-6264,POLAND,Multi-Language,1,,0,Mathematics
00330J,ACTA ASTRONAUTICA,ACTA ASTRONAUT,PERGAMON-ELSEVIER SCIENCE LTD,D  JS Q  XC T  CC ES,0094-5765,1879-2030,UNITED STATES,Multi-Language,,,,"Engineering, Aerospace"
10203J,ACTA ASTRONOMICA,ACTA ASTRONOM,COPERNICUS FOUNDATION POLISH  ASTRONOMY,K  D  JS Q  S  CC ES,0001-5237,0001-5237,POLAND,English,,,,Astronomy & Astrophysics
10366J,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,OXFORD UNIV PRESS,D  JS Q  XC B1 B7 BA BP ES,1672-9145,1745-7270,PEOPLES R CHINA,English,,,,Biochemistry & Molecular Biology
10366J,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,OXFORD UNIV PRESS,D  JS Q  XC B1 B7 BA BP ES,1672-9145,1745-7270,PEOPLES R CHINA,English,,,,Biophysics
00440J,ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,ACTA BIOCHIMICA POLONICA,D  JS Q  XC P  B1 BA BP CC ES,0001-527X,1734-154X,POLAND,English,,,,Biochemistry & Molecular Biology
C8648J,Acta Bioethica,ACTA BIOETH,"UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA",D  SS JS JZ Q  XC WS ES SC,1726-569X,1726-569X,CHILE,Multi-Language,,1,,"Social Sciences, Biomedical"
C8648J,Acta Bioethica,ACTA BIOETH,"UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA",D  SS JS JZ Q  XC WS ES SC,1726-569X,1726-569X,CHILE,Multi-Language,,,,Ethics
C8648J,Acta Bioethica,ACTA BIOETH,"UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA",D  SS JS JZ Q  XC WS ES SC,1726-569X,1726-569X,CHILE,Multi-Language,,,,Medical Ethics
00528J,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW",D  JS Q  XC A  B1 BA BP CC ES,0001-5296,1898-0295,POLAND,English,,0,,Plant Sciences
05904J,ACTA BIOLOGICA HUNGARICA,ACTA BIOL HUNG,AKADEMIAI KIADO RT,K  D  JS Q  A  B2 B7 BA BP CC ES,0236-5383,1588-256X,HUNGARY,English,,,,Biology
C6254J,Acta Biomaterialia,ACTA BIOMATER,ELSEVIER SCI LTD,K  D  JS Q  XC ES,1742-7061,1878-7568,ENGLAND,English,,,,"Materials Science, Biomaterials"
C6254J,Acta Biomaterialia,ACTA BIOMATER,ELSEVIER SCI LTD,K  D  JS Q  XC ES,1742-7061,1878-7568,ENGLAND,English,,,,"Engineering, Biomedical"
10439J,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES,D  JS Q  XC ES SC,0325-2957,1851-6114,ARGENTINA,Spanish,,,,Medical Laboratory Technology
00401J,ACTA BIOTHEORETICA,ACTA BIOTHEOR,SPRINGER,K  D  JS Q  A  B1 B7 BA BP CC ES,0001-5342,1572-8358,NETHERLANDS,English,,,,Mathematical & Computational Biology
C8975J,Acta Borealia,ACTA BOREAL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",H  Q  WS SP,0800-3831,1503-111X,ENGLAND,English,0,,1,"Humanities, Multidisciplinary"
C8701J,Acta Botanica Brasilica,ACTA BOT BRAS,SOC BOTANICA BRASIL,D  JS Q  XC B1 BA BP WS ES SC,0102-3306,1677-941X,BRAZIL,Portuguese,1,,0,Plant Sciences
C1164J,ACTA BOTANICA CROATICA,ACTA BOT CROAT,"UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY",D  JS Q  XC B1 B7 BA BP WS ES,0365-0588,1847-8476,CROATIA,English,,,,Plant Sciences
10372J,ACTA BOTANICA GALLICA,ACTA BOT GALLICA,SOC BOTANIQUE FRANCE,D  JS Q  XC A  B1 BA BP CC ES,1253-8078,2166-3408,FRANCE,French,,,,Plant Sciences
C7497J,Acta Botanica Mexicana,ACTA BOT MEX,INST ECOLOGIA AC,D  JS Q  XC B1 BA BP WS ES SC,0187-7151,,MEXICO,Spanish,,,,Plant Sciences
00682J,ACTA CARDIOLOGICA,ACTA CARDIOL,ACTA CARDIOLOGICA,D  JS Q  XC C  DF B1 BA BP PI CC ES,0001-5385,1784-973X,BELGIUM,English,,,,Cardiac & Cardiovascular Systems
C7251J,Acta Cardiologica Sinica,ACTA CARDIOL SIN,TAIWAN SOC CARDIOLOGY,D  JS Q  XC WS ES,1011-6842,,TAIWAN,English,,,,Cardiac & Cardiovascular Systems
C4712J,ACTA CARSOLOGICA,ACTA CARSOLOGICA,KARST RESEARCH INST ZRC SAZU,D  JS Q  XC B7 WS ES,0583-6050,1580-2612,SLOVENIA,Slovenian,,,,"Geosciences, Multidisciplinary"
02385J,ACTA CHIMICA SINICA,ACTA CHIM SINICA,SCIENCE PRESS,K  D  JS Q  S  CR RD RC SR CC ES,0567-7351,,PEOPLES R CHINA,Chinese,,,,"Chemistry, Multidisciplinary"
13053J,ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,SLOVENSKO KEMIJSKO DRUSTVO,D  JS Q  XC S  CC ES,1318-0207,1580-3155,SLOVENIA,Multi-Language,,,,"Chemistry, Multidisciplinary"
13515J,ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES,D  JS Q  XC A  B1 B7 BA BP CC ES,1508-1109,1733-5329,POLAND,English,,,,Zoology
C7308J,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,ACTA CHIR ORTHOP TR,GALEN SRO,D  JS Q  XC WS ES,0001-5415,,CZECH REPUBLIC,Czech,,,,Orthopedics
00847J,ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,ACTA MEDICAL BELGICA,D  JS Q  XC C  CC ES,0001-5458,,BELGIUM,Multi-Language,,,,Surgery
13885J,ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,AKADEMIAI KIADO RT,D  JS Q  XC ES,1233-2356,2083-5736,POLAND,English,,,,"Chemistry, Analytical"
C8017J,Acta Cirurgica Brasileira,ACTA CIR BRAS,ACTA CIRURGICA BRASILEIRA,D  JS Q  XC WS ES SC,0102-8650,1678-2674,BRAZIL,English,,,,Surgery
C9563J,Acta Classica,ACTA CLASS,"UNIV FREE STATE, DEPT ENG CLASSICAL LANG",H  Q  WS,0065-1141,2227-538X,SOUTH AFRICA,English,0,,1,Classics
00949J,ACTA CLINICA BELGICA,ACTA CLIN BELG,MANEY PUBLISHING,D  JS Q  XC C  DF PI CC ES,1784-3286,2295-3337,ENGLAND,English,1,,0,"Medicine, General & Internal"
C8187J,Acta Clinica Croatica,ACTA CLIN CROAT,SESTRE MILOSRDNICE UNIV HOSPITAL,D  JS Q  XC WS ES,0353-9466,1333-9451,CROATIA,English,,,,"Medicine, General & Internal"
00975J,Acta Crystallographica A-Foundation and Advances,ACTA CRYSTALLOGR A,INT UNION CRYSTALLOGRAPHY,K  D  JS Q  S  RD RC SR CC ES,2053-2733,2053-2733,ENGLAND,English,,,,Crystallography
00976J,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,INT UNION CRYSTALLOGRAPHY,K  D  JS Q  S  RD RC SR CC ES,2052-5206,2052-5206,ENGLAND,English,,,,Crystallography
04611J,Acta Crystallographica Section C-Structural Chemistry,ACTA CRYSTALLOGR C,INT UNION CRYSTALLOGRAPHY,K  D  JS Q  S  RD RC SR CC ES,2053-2296,2053-2296,ENGLAND,English,,,,Crystallography
10202J,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,ACTA CRYSTALLOGR D,INT UNION CRYSTALLOGRAPHY,K  D  JS Q  P  B1 BA BP CC ES,1399-0047,1399-0047,ENGLAND,English,,,,Crystallography
10202J,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,ACTA CRYSTALLOGR D,INT UNION CRYSTALLOGRAPHY,K  D  JS Q  P  B1 BA BP CC ES,1399-0047,1399-0047,ENGLAND,English,,,,Biochemistry & Molecular Biology
10202J,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,ACTA CRYSTALLOGR D,INT UNION CRYSTALLOGRAPHY,K  D  JS Q  P  B1 BA BP CC ES,1399-0047,1399-0047,ENGLAND,English,,,,Biophysics
10202J,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,ACTA CRYSTALLOGR D,INT UNION CRYSTALLOGRAPHY,K  D  JS Q  P  B1 BA BP CC ES,1399-0047,1399-0047,ENGLAND,English,,,,Biochemical Research Methods
C6097J,Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,INT UNION CRYSTALLOGRAPHY,D  JS Q  XC B1 BA BP ES,2053-230X,2053-230X,ENGLAND,English,,,,Biochemical Research Methods
C6097J,Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,INT UNION CRYSTALLOGRAPHY,D  JS Q  XC B1 BA BP ES,2053-230X,2053-230X,ENGLAND,English,,,,Biochemistry & Molecular Biology
C6097J,Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,INT UNION CRYSTALLOGRAPHY,D  JS Q  XC B1 BA BP ES,2053-230X,2053-230X,ENGLAND,English,,,,Biophysics
C6097J,Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,INT UNION CRYSTALLOGRAPHY,D  JS Q  XC B1 BA BP ES,2053-230X,2053-230X,ENGLAND,English,,,,Crystallography
01056J,ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,ACTA DERMATO-VENEREOLOGICA,K  D  JS Q  C  P  DF PI CC ES,0001-5555,1651-2057,NORWAY,English,,,,Dermatology
C7266J,Acta Dermatovenerologica Croatica,ACTA DERMATOVENER CR,CROATION DERMATOVENEROLOGICAL SOC,D  JS Q  XC WS ES,1330-027X,1847-6538,CROATIA,English,,,,Dermatology
09606J,ACTA DIABETOLOGICA,ACTA DIABETOL,SPRINGER-VERLAG ITALIA SRL,K  D  JS Q  P  B1 BA BP PI CC ES,0940-5429,1432-5233,ITALY,English,,,,Endocrinology & Metabolism
C7107J,Acta Endocrinologica-Bucharest,ACTA ENDOCRINOL-BUCH,EDITURA ACAD ROMANE,D  JS Q  XC WS ES,1841-0987,1843-066X,ROMANIA,English,,,,Endocrinology & Metabolism
C3326J,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM,D  JS Q  XC B1 B7 BA BP WS ES,0374-1036,1804-6487,CZECH REPUBLIC,English,,,,Entomology
C3101J,ACTA ETHOLOGICA,ACTA ETHOL,SPRINGER HEIDELBERG,D  JS Q  XC A  B1 B7 BA BP CC ES,0873-9749,1437-9546,GERMANY,English,,,,Behavioral Sciences
C3101J,ACTA ETHOLOGICA,ACTA ETHOL,SPRINGER HEIDELBERG,D  JS Q  XC A  B1 B7 BA BP CC ES,0873-9749,1437-9546,GERMANY,English,,,,Zoology
01210J,ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,UNIV CATHOLIQUE LOUVAIN-UCL,D  JS Q  XC C  PI CC ES,0001-5644,1477-4607,BELGIUM,Multi-Language,,,,Gastroenterology & Hepatology
D1562J,Acta Geodaetica et Geophysica,ACTA GEOD GEOPHYS,SPRINGER,D  JS Q  XC WS ES,2213-5812,2213-5820,HUNGARY,English,,,,Geochemistry & Geophysics
C7313J,Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,ACAD SCI CZECH REPUBLIC INST ROCK STRUCTURE & MECHANICS,D  JS Q  XC WS ES,1214-9705,,CZECH REPUBLIC,English,,,,Geochemistry & Geophysics
C7313J,Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,ACAD SCI CZECH REPUBLIC INST ROCK STRUCTURE & MECHANICS,D  JS Q  XC WS ES,1214-9705,,CZECH REPUBLIC,English,,,,Mining & Mineral Processing
C8584J,Acta Geographica Slovenica-Geografski Zbornik,ACTA GEOGR SLOV,GEOGRAFSKI INST ANTONA MELIKA ZRC SAZU,D  JS Q  XC WS ES,1581-6613,1854-5106,SLOVENIA,English,,,,"Geography, Physical"
C3331J,ACTA GEOLOGICA POLONICA,ACTA GEOL POL,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARSAW, GEOLOGY DEPT",D  JS Q  XC S  B7 CC ES,0001-5709,2300-1887,POLAND,Polish,,,,Geology
09083J,ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,WILEY-BLACKWELL,D  JS Q  XC S  B7 CC ES,1000-9515,1755-6724,PEOPLES R CHINA,English,,,,"Geosciences, Multidisciplinary"
C7603J,Acta Geophysica,ACTA GEOPHYS,DE GRUYTER OPEN LTD,D  JS Q  XC S  CC ES,****-****,1895-7455,POLAND,English,,,,Geochemistry & Geophysics
D0291J,Acta Geotechnica,ACTA GEOTECH,SPRINGER HEIDELBERG,D  JS Q  XC T  CC ES,1861-1125,1861-1133,GERMANY,English,,,,"Engineering, Geological"
C7664J,Acta Geotechnica Slovenica,ACTA GEOTECH SLOV,UNIV MARIBOR,D  JS Q  XC WS ES,1854-0171,,SLOVENIA,English,,,,"Engineering, Geological"
01364J,ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,KARGER,K  D  JS Q  C  P  DF B1 BA BP CC ES,0001-5792,1421-9662,SWITZERLAND,English,,,,Hematology
C7360J,Acta Herpetologica,ACTA HERPETOL,FIRENZE UNIV PRESS,D  JS Q  XC B1 B7 BA BP WS ES,1827-9635,1827-9643,ITALY,Multi-Language,,,,Zoology
01452J,ACTA HISTOCHEMICA,ACTA HISTOCHEM,"ELSEVIER GMBH, URBAN & FISCHER VERLAG",K  D  JS Q  P  CC ES,0065-1281,1618-0372,GERMANY,Multi-Language,,,,Cell Biology
01463J,ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,JAPAN SOC HISTOCHEMISTRY & CYTOCHEMISTRY,K  D  JS Q  P  B1 BA BP CC ES,0044-5991,1347-5800,JAPAN,English,,,,Cell Biology
C8702J,Acta Historica Tallinnensia,ACTA HIST TALLINENSI,ESTONIAN ACADEMY PUBLISHERS,H  Q  WS,1406-2925,1736-7476,ESTONIA,Multi-Language,0,,1,History
C8756J,Acta Histriae,ACTA HISTRIAE,"UNIV PRIMORSKA, SCI RES CENTRE KOPER",SS H  JZ Q  XC WS ES,1318-0185,,SLOVENIA,Slovenian,,1,,History
C8756J,Acta Histriae,ACTA HISTRIAE,"UNIV PRIMORSKA, SCI RES CENTRE KOPER",SS H  JZ Q  XC WS ES,1318-0185,,SLOVENIA,Slovenian,,,,History
C3334J,ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,WYDAWNICTWO AKAD ROLNICZEJ W SZCZECINIE,D  JS Q  XC B1 B7 BA BP WS ES,0137-1592,1734-1515,POLAND,Multi-Language,1,0,0,Zoology
C3334J,ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,WYDAWNICTWO AKAD ROLNICZEJ W SZCZECINIE,D  JS Q  XC B1 B7 BA BP WS ES,0137-1592,1734-1515,POLAND,Multi-Language,,,,Fisheries
01474J,ACTA INFORMATICA,ACTA INFORM,SPRINGER,K  D  JS Q  T  CC ES,0001-5903,1432-0525,GERMANY,Multi-Language,,,,"Computer Science, Information Systems"
D0979J,Acta Koreana,ACTA KOREANA,ACADEMIA KOREANA KEIMYUNG UNIV,H  Q  Y  WS CC,1520-7412,,SOUTH KOREA,English,0,,1,Asian Studies
C7094J,Acta Linguistica Hungarica,ACTA LINGUIST HUNGAR,AKADEMIAI KIADO RT,SS H  JZ Q  XC WS ES,1216-8076,1588-2624,HUNGARY,English,,1,,Language & Linguistics
C7094J,Acta Linguistica Hungarica,ACTA LINGUIST HUNGAR,AKADEMIAI KIADO RT,SS H  JZ Q  XC WS ES,1216-8076,1588-2624,HUNGARY,English,,,,Linguistics
C8703J,Acta Literaria,ACTA LIT,"UNIV CONCEPCION, FAC HUMANIDADES ARTE",H  Q  WS SC,0717-6848,0717-6848,CHILE,Spanish,,0,,"Literature, Romance"
11684J,ACTA MATERIALIA,ACTA MATER,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  S  T  CC ES,1359-6454,1873-2453,UNITED STATES,English,1,,0,"Materials Science, Multidisciplinary"
11684J,ACTA MATERIALIA,ACTA MATER,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  S  T  CC ES,1359-6454,1873-2453,UNITED STATES,English,,,,Metallurgy & Metallurgical Engineering
01584J,ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,SPRINGER,K  D  JS Q  S  CC ES,0001-5962,1871-2509,SWEDEN,English,,,,Mathematics
04899J,ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,SPRINGER,D  JS Q  XC ES,0236-5294,1588-2632,HUNGARY,English,,,,Mathematics
04877J,ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,ELSEVIER SCIENCE INC,D  JS Q  XC ES,0252-9602,1572-9087,PEOPLES R CHINA,English,,,,Mathematics
12365J,ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,SPRINGER HEIDELBERG,D  JS Q  XC S  CC ES,1439-8516,1439-7617,PEOPLES R CHINA,English,,,,"Mathematics, Applied"
12365J,ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,SPRINGER HEIDELBERG,D  JS Q  XC S  CC ES,1439-8516,1439-7617,PEOPLES R CHINA,English,,,,Mathematics
C7146J,Acta Mathematicae Applicatae Sinica-English Series,ACTA MATH APPL SIN-E,SPRINGER HEIDELBERG,D  JS Q  XC WS ES,0168-9673,1618-3932,PEOPLES R CHINA,English,,,,"Mathematics, Applied"
01606J,ACTA MECHANICA,ACTA MECH,SPRINGER WIEN,K  D  JS Q  T  CC ES,0001-5970,1619-6937,AUSTRIA,English,,,,Mechanics
11361J,ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,SPRINGER HEIDELBERG,K  D  JS Q  XC T  CC ES,0567-7718,1614-3116,PEOPLES R CHINA,English,,,,Mechanics
11361J,ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,SPRINGER HEIDELBERG,K  D  JS Q  XC T  CC ES,0567-7718,1614-3116,PEOPLES R CHINA,English,,,,"Engineering, Mechanical"
09885J,ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,ELSEVIER SCIENCE INC,D  JS Q  XC ES,0894-9166,1860-2134,PEOPLES R CHINA,English,,,,"Materials Science, Multidisciplinary"
09885J,ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,ELSEVIER SCIENCE INC,D  JS Q  XC ES,0894-9166,1860-2134,PEOPLES R CHINA,English,,,,Mechanics
C8077J,Acta Medica Mediterranea,ACTA MEDICA MEDITERR,CARBONE EDITORE,D  JS Q  XC WS ES,0393-6384,,ITALY,Italian,,,,"Medicine, General & Internal"
01672J,ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,OKAYAMA UNIV MED SCHOOL,K  D  JS Q  P  B2 BA BP PI CC ES,0386-300X,0386-300X,JAPAN,English,,,,"Medicine, Research & Experimental"
C8373J,Acta Medica Portuguesa,ACTA MEDICA PORT,ORDEM MEDICOS,D  JS Q  XC WS ES,1646-0758,,PORTUGAL,Portuguese,,,,"Medicine, General & Internal"
13700J,ACTA METALLURGICA SINICA,ACTA METALL SIN,SCIENCE PRESS,D  JS Q  XC T  CC ES,0412-1961,,PEOPLES R CHINA,Chinese,,,,Metallurgy & Metallurgical Engineering
D0693J,Acta Metallurgica Sinica-English Letters,ACTA METALL SIN-ENGL,"CHINESE ACAD SCIENCES, INST METAL RESEARCH",D  JS Q  XC T  WS CC ES,1006-7191,2194-1289,PEOPLES R CHINA,English,,,,Metallurgy & Metallurgical Engineering
C1171J,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,AKADEMIAI KIADO RT,D  JS Q  XC B1 BA BP WS ES,1217-8950,1588-2640,HUNGARY,English,,,,Microbiology
C1171J,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,AKADEMIAI KIADO RT,D  JS Q  XC B1 BA BP WS ES,1217-8950,1588-2640,HUNGARY,English,,,,Immunology
C9037J,Acta Microscopica,ACTA MICROSC,COMITE INTERAMERICANO SOC MICROSCOPIA ELECTRONICA-CIASEM,D  JS Q  XC B7 WS ES,0798-4545,2224-8927,VENEZUELA,Spanish,,,,Microscopy
C7431J,Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,BERG FAC TECHNICAL UNIV KOSICE,D  JS Q  XC WS ES,1335-1788,,SLOVAKIA,English,,,,"Geosciences, Multidisciplinary"
C7431J,Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,BERG FAC TECHNICAL UNIV KOSICE,D  JS Q  XC WS ES,1335-1788,,SLOVAKIA,English,,,,Mining & Mineral Processing
00310J,ACTA MUSICOLOGICA,ACTA MUSICOLOGICA,INT MUSICOLOGICAL SOC,H  Q  Y  CC,0001-6241,,SWITZERLAND,Multi-Language,0,,1,Music
C9702J,Acta Naturae,ACTA NATURAE,RUSSIAN FEDERATION AGENCY SCIENCE & INNOVATION,D  JS Q  XC B1 B7 BA BP ES,2075-8251,2075-8251,RUSSIA,English,1,,0,Cell Biology
01991J,ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,NENCKI INST EXPERIMENTAL BIOLOGY,D  JS Q  XC P  B1 BA BP CC ES,0065-1400,1689-0035,POLAND,English,,,,Neurosciences
02002J,ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,SPRINGER WIEN,K  D  JS Q  C  B1 BA BP CC ES,0001-6268,0942-0940,AUSTRIA,English,,,,Clinical Neurology
